,id,link,year,week,result
217,217,https://www.transfermarkt.com/genclerbirligi-ankara_denizlispor/index/spielbericht/1119159,1,25,2
218,218,https://www.transfermarkt.com/trabzonspor_kocaelispor/index/spielbericht/1119160,1,25,-1
219,219,https://www.transfermarkt.com/samsunspor_gaziantepspor/index/spielbericht/1119161,1,25,1
220,220,https://www.transfermarkt.com/besiktas-jk_yimpas-yozgatspor/index/spielbericht/1119162,1,25,2
221,221,https://www.transfermarkt.com/bursaspor_mke-ankaragucu/index/spielbericht/1119163,1,25,1
222,222,https://www.transfermarkt.com/diyarbakirspor_istanbulspor/index/spielbericht/1119164,1,25,1
223,223,https://www.transfermarkt.com/malatyaspor_antalyaspor/index/spielbericht/1119165,1,25,1
224,224,https://www.transfermarkt.com/goztepe_galatasaray/index/spielbericht/1119166,1,25,2
225,225,https://www.transfermarkt.com/mke-ankaragucu_diyarbakirspor/index/spielbericht/1119167,1,26,0
226,226,https://www.transfermarkt.com/caykur-rizespor_genclerbirligi-ankara/index/spielbericht/1119168,1,26,-1
227,227,https://www.transfermarkt.com/samsunspor_istanbulspor/index/spielbericht/1119169,1,26,-1
228,228,https://www.transfermarkt.com/yimpas-yozgatspor_trabzonspor/index/spielbericht/1119170,1,26,-1
229,229,https://www.transfermarkt.com/galatasaray_besiktas-jk/index/spielbericht/1119171,1,26,1
230,230,https://www.transfermarkt.com/denizlispor_goztepe/index/spielbericht/1119172,1,26,1
231,231,https://www.transfermarkt.com/kocaelispor_bursaspor/index/spielbericht/1119173,1,26,-1
232,232,https://www.transfermarkt.com/malatyaspor_gaziantepspor/index/spielbericht/1119174,1,26,0
233,233,https://www.transfermarkt.com/antalyaspor_fenerbahce/index/spielbericht/1119175,1,26,-1
234,234,https://www.transfermarkt.com/besiktas-jk_denizlispor/index/spielbericht/1119176,1,27,0
235,235,https://www.transfermarkt.com/goztepe_caykur-rizespor/index/spielbericht/1119177,1,27,-1
236,236,https://www.transfermarkt.com/gaziantepspor_istanbulspor/index/spielbericht/1119178,1,27,0
237,237,https://www.transfermarkt.com/bursaspor_yimpas-yozgatspor/index/spielbericht/1119179,1,27,2
238,238,https://www.transfermarkt.com/diyarbakirspor_kocaelispor/index/spielbericht/1119180,1,27,0
239,239,https://www.transfermarkt.com/samsunspor_mke-ankaragucu/index/spielbericht/1119181,1,27,2
240,240,https://www.transfermarkt.com/genclerbirligi-ankara_antalyaspor/index/spielbericht/1119182,1,27,1
241,241,https://www.transfermarkt.com/fenerbahce_malatyaspor/index/spielbericht/1119183,1,27,0
242,242,https://www.transfermarkt.com/trabzonspor_galatasaray/index/spielbericht/1119184,1,27,-2
243,243,https://www.transfermarkt.com/fenerbahce_gaziantepspor/index/spielbericht/1119185,1,28,3
244,244,https://www.transfermarkt.com/samsunspor_kocaelispor/index/spielbericht/1119249,1,28,0
245,245,https://www.transfermarkt.com/yimpas-yozgatspor_diyarbakirspor/index/spielbericht/1119186,1,28,2
246,246,https://www.transfermarkt.com/denizlispor_trabzonspor/index/spielbericht/1119187,1,28,1
247,247,https://www.transfermarkt.com/galatasaray_bursaspor/index/spielbericht/1119188,1,28,1
248,248,https://www.transfermarkt.com/antalyaspor_goztepe/index/spielbericht/1119189,1,28,2
249,249,https://www.transfermarkt.com/malatyaspor_genclerbirligi-ankara/index/spielbericht/1119190,1,28,1
250,250,https://www.transfermarkt.com/mke-ankaragucu_istanbulspor/index/spielbericht/1119191,1,28,2
251,251,https://www.transfermarkt.com/caykur-rizespor_besiktas-jk/index/spielbericht/1119192,1,28,-2
252,252,https://www.transfermarkt.com/besiktas-jk_antalyaspor/index/spielbericht/1119193,1,29,0
253,253,https://www.transfermarkt.com/trabzonspor_caykur-rizespor/index/spielbericht/1119194,1,29,1
254,254,https://www.transfermarkt.com/istanbulspor_kocaelispor/index/spielbericht/1119195,1,29,-1
255,255,https://www.transfermarkt.com/gaziantepspor_mke-ankaragucu/index/spielbericht/1119196,1,29,0
256,256,https://www.transfermarkt.com/diyarbakirspor_galatasaray/index/spielbericht/1119197,1,29,0
257,257,https://www.transfermarkt.com/goztepe_malatyaspor/index/spielbericht/1119198,1,29,1
258,258,https://www.transfermarkt.com/samsunspor_yimpas-yozgatspor/index/spielbericht/1119199,1,29,0
259,259,https://www.transfermarkt.com/bursaspor_denizlispor/index/spielbericht/1119200,1,29,0
260,260,https://www.transfermarkt.com/genclerbirligi-ankara_fenerbahce/index/spielbericht/1119201,1,29,0
261,261,https://www.transfermarkt.com/fenerbahce_goztepe/index/spielbericht/1119202,1,30,3
262,262,https://www.transfermarkt.com/denizlispor_diyarbakirspor/index/spielbericht/1119203,1,30,1
263,263,https://www.transfermarkt.com/caykur-rizespor_bursaspor/index/spielbericht/1119204,1,30,2
264,264,https://www.transfermarkt.com/genclerbirligi-ankara_gaziantepspor/index/spielbericht/1119205,1,30,0
265,265,https://www.transfermarkt.com/malatyaspor_besiktas-jk/index/spielbericht/1119206,1,30,-1
266,266,https://www.transfermarkt.com/kocaelispor_mke-ankaragucu/index/spielbericht/1119207,1,30,0
267,267,https://www.transfermarkt.com/yimpas-yozgatspor_istanbulspor/index/spielbericht/1119208,1,30,0
268,268,https://www.transfermarkt.com/antalyaspor_trabzonspor/index/spielbericht/1119209,1,30,2
269,269,https://www.transfermarkt.com/samsunspor_galatasaray/index/spielbericht/1119210,1,30,-1
270,270,https://www.transfermarkt.com/trabzonspor_malatyaspor/index/spielbericht/1119211,1,31,0
271,271,https://www.transfermarkt.com/istanbulspor_galatasaray/index/spielbericht/1119214,1,31,-2
272,272,https://www.transfermarkt.com/samsunspor_denizlispor/index/spielbericht/1119215,1,31,-1
273,273,https://www.transfermarkt.com/goztepe_genclerbirligi-ankara/index/spielbericht/1119212,1,31,0
274,274,https://www.transfermarkt.com/mke-ankaragucu_yimpas-yozgatspor/index/spielbericht/1119213,1,31,0
